timestamp,Cores,RealAllocatedCores,SystemRealUtilization,SystemUtilization,AllocatedCores,ExceededCores,Decision,CooldownUp,CooldownDown
1652015820,235.66092060293568,448,52.60288406315529,32.019146821051045,736,0,0,1,0
1652015880,219.0777169753195,448,48.90127611056239,28.231664558675195,776,0,0,4,0
1652015940,207.6782507439184,448,46.35675239819607,26.762661178339997,776,0,0,3,0
1652016000,223.58840034459212,448,49.908125076917884,28.812938188736098,776,0,0,2,0
1652016060,213.45357712406317,448,47.64588775090696,27.506904268564842,776,0,0,1,0
1652016120,211.5894863130059,448,47.229796052010244,27.266686380541998,776,0,-304,0,0
1652016180,208.8632047328954,448,46.62125105644987,44.250678968833775,472,0,0,0,6
1652016240,210.66626657072982,448,47.023720216680765,44.6326835954936,472,0,0,0,5
1652016300,210.33013333333332,448,46.94869047619047,44.56146892655367,472,0,0,0,4
1652016360,221.4805333333333,448,49.437619047619044,46.9238418079096,472,0,24,0,0
1652016420,200.45284701436918,448,44.74393906570741,42.46882351999347,472,0,0,0,0
1652016480,202.6664154004228,448,45.23803915188009,42.937799872970935,472,0,0,0,0
1652016540,206.4827972331707,432,47.79694380397469,43.74635534601074,472,0,0,0,0
1652016600,202.7673184015706,448,45.26056214320772,42.9591776274514,472,0,0,0,0
1652016660,224.92773767992756,448,50.20708430355526,47.654181711849056,472,0,28,0,0
1652016720,237.6849424823747,448,53.05467466124435,50.356979339486166,472,0,60,0,0
1652016780,214.88212055534257,448,47.964759052531825,45.52587299901326,472,0,8,0,0
1652016840,216.74987664427815,448,48.38166889381208,45.92158403480469,472,0,12,0,0
1652016900,214.74545585533411,448,47.93425353913708,45.496918613418245,472,0,8,0,0
1652016960,199.19108160145487,448,44.462295000324744,42.201500339291286,472,0,0,0,0
1652017020,206.02974583756938,448,45.98878255302888,43.65036988084097,472,0,0,0,0
1652017080,212.8801368863936,448,47.51788769785571,45.10172391660881,472,0,4,0,0
1652017140,201.01171061739916,448,44.86868540566945,40.52655455995951,496,0,0,4,0
1652017200,204.032273070632,448,45.542918096123216,41.13553892553064,496,0,0,3,0
1652017260,212.9141468086643,448,47.52547919836257,42.92623927594038,496,0,0,2,0
1652017320,202.15970801291132,448,45.124934824310564,40.75800564776438,496,0,0,1,0
1652017380,205.42773235063925,448,45.854404542553404,36.94743387601425,556,0,0,4,0
1652017440,212.0965248042631,448,47.34297428666587,37.60576680926651,564,0,0,4,0
1652017500,203.12296097249614,448,45.339946645646464,36.01470939228655,564,0,0,3,0
1652017560,203.6694339612107,448,45.46192722348453,35.35927672937686,576,0,0,4,0
1652017620,218.3037314443117,448,48.728511483105294,37.38077593224515,584,0,0,4,0
1652017680,206.76678801535581,448,46.15330089628478,35.164419730502686,588,0,0,4,0
1652017740,212.5843986197121,448,47.45187469190002,36.15380928906668,588,0,0,3,0
1652017800,212.47025676636255,448,47.426396599634494,36.13439740924533,588,0,0,2,0
